SMILES,LC50,Structure
c12c3c4c5c1c6c7c8c2c9c%10c3c%11c%12c4c%13c%14c5c%15c6c%16c7c%17c%18c8c9c%19c%20c%10c%11c%21c%22c%12c%13c%23c%24c%14c%15c%25c%16c%26c%17c%27c%18c%19c%28c%20c%21c%29c%22c%23c%30c%24c%25c%26c%31c%27c%28c%29c%30%31,7.9,<rdkit.Chem.rdchem.Mol object at 0x1783dcb30>
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,8.5,<rdkit.Chem.rdchem.Mol object at 0x1783dcac0>
Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1,0.011,<rdkit.Chem.rdchem.Mol object at 0x1783dca50>
OC(=O)CNC[P](O)(O)=O,83.94,<rdkit.Chem.rdchem.Mol object at 0x1783dd1c0>
COC(=O)[C@@]1(O)OC[C@@]23[C@H](C[C@@H](OC(C)=O)[C@]4(CO[C@@H]([C@@H](O)[C@](C)([C@H]12)[C@]56O[C@@]5(C)[C@H]7C[C@@H]6O[C@@H]8OC=C[C@]78O)[C@H]34)C(=O)OC)OC(=O)C(/C)=C/C,0.625,<rdkit.Chem.rdchem.Mol object at 0x1783dd150>
CO[P](N)(=O)SC,0.034,<rdkit.Chem.rdchem.Mol object at 0x1783dd070>
ClC1=C(Cl)C2(Cl)[C@H]3CO[S](=O)OC[C@H]3[C@]1(Cl)C2(Cl)Cl,0.6174999999999999,<rdkit.Chem.rdchem.Mol object at 0x1783de650>
ClC1=C(Cl)C2(Cl)[C@@H]3CO[S](=O)OC[C@@H]3[C@@]1(Cl)C2(Cl)Cl,1.0350000000000001,<rdkit.Chem.rdchem.Mol object at 0x1783de6c0>
ClC1=C(Cl)C2(Cl)C3CO[S](=O)(=O)OCC3C1(Cl)C2(Cl)Cl,1.335,<rdkit.Chem.rdchem.Mol object at 0x1783de730>
COC(=O)Nc1[nH]c2ccccc2n1,0.125,<rdkit.Chem.rdchem.Mol object at 0x1783de7a0>
CO\C=C(C(=O)OC)/c1ccccc1Oc2cc(Oc3ccccc3C#N)ncn2,0.277,<rdkit.Chem.rdchem.Mol object at 0x1783de810>
N,12.965,<rdkit.Chem.rdchem.Mol object at 0x1783de880>
S=C1Nc2ccccc2S1,5.55,<rdkit.Chem.rdchem.Mol object at 0x1783de8f0>
O=[Zn],2.37,<rdkit.Chem.rdchem.Mol object at 0x1783de960>
O=[Ti]=O,86.5935,<rdkit.Chem.rdchem.Mol object at 0x1783de9d0>
O=[Cu],67.2,<rdkit.Chem.rdchem.Mol object at 0x1783dea40>
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,230.5,<rdkit.Chem.rdchem.Mol object at 0x1783deb20>
OC(=O)CN(CC(O)=O)CC(O)=O,351.0,<rdkit.Chem.rdchem.Mol object at 0x1783dec00>
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,0.0006850000000000001,<rdkit.Chem.rdchem.Mol object at 0x1783dece0>
c1ccc2cc3c(ccc4ccccc34)cc2c1,0.1462,<rdkit.Chem.rdchem.Mol object at 0x1783ded50>
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,1.945,<rdkit.Chem.rdchem.Mol object at 0x1783dedc0>
C1Cc2cccc3cccc1c23,0.81,<rdkit.Chem.rdchem.Mol object at 0x1783dee30>
ClC\C=C/Cl,4.5,<rdkit.Chem.rdchem.Mol object at 0x1783deea0>
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,261.725,<rdkit.Chem.rdchem.Mol object at 0x1783def80>
Cc1c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)cccc1c3ccccc3,0.00086,<rdkit.Chem.rdchem.Mol object at 0x1783deff0>
CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,0.00022499999999995,<rdkit.Chem.rdchem.Mol object at 0x1783df060>
CCN(CC)C(=O)SCc1ccc(Cl)cc1,3.915,<rdkit.Chem.rdchem.Mol object at 0x1783df0d0>
CCC(C)c1ccccc1OC(=O)NC,0.0675,<rdkit.Chem.rdchem.Mol object at 0x1783df140>
CC(C)N.OC(=O)CNC[P](O)(O)=O,29.48,<rdkit.Chem.rdchem.Mol object at 0x1783df1b0>
OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,87.1,<rdkit.Chem.rdchem.Mol object at 0x1783df220>
Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,20.35,<rdkit.Chem.rdchem.Mol object at 0x1783df290>
CC(C)Cc1ccc(cc1)C(C)C(O)=O,128.5,<rdkit.Chem.rdchem.Mol object at 0x1783df300>
Cc1cc(Nc2ccccc2C(O)=O)ccc1Cl,7.73,<rdkit.Chem.rdchem.Mol object at 0x1783df370>
CC(=C)[C@@H]1CCC(=CC1)C,0.7505,<rdkit.Chem.rdchem.Mol object at 0x1783df3e0>
C[Hg]Cl,0.0165,<rdkit.Chem.rdchem.Mol object at 0x1783df450>
N(Nc1ccccc1)c2ccccc2,4.1,<rdkit.Chem.rdchem.Mol object at 0x1783df4c0>
O=NN(c1ccccc1)c2ccccc2,7.8,<rdkit.Chem.rdchem.Mol object at 0x1783df530>
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,55.0,<rdkit.Chem.rdchem.Mol object at 0x1783df5a0>
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,0.00281,<rdkit.Chem.rdchem.Mol object at 0x1783df610>
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,13.04,<rdkit.Chem.rdchem.Mol object at 0x1783df680>
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,47.595,<rdkit.Chem.rdchem.Mol object at 0x1783df6f0>
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.06655,<rdkit.Chem.rdchem.Mol object at 0x1783df7d0>
CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C,0.6819999999999999,<rdkit.Chem.rdchem.Mol object at 0x1783df8b0>
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,100.563101,<rdkit.Chem.rdchem.Mol object at 0x1783dc7b0>
